                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0964,                 2.5723,                 1.7044,                0.37162,                0.64941,                0.54404,                0.44875,                0.77886,                 2.2468,                 1.4843,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     79,                 1.0701,                 2.5373,                 1.6724,                0.36586,                0.60605,                0.53586,                 0.4453,                0.77029,                 2.2396,                 1.4848,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     80,                 1.1114,                 2.5412,                  1.698,                0.39716,                0.70566,                0.58439,                 0.4848,                 0.7591,                 2.2153,                 1.4649,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     81,                 1.0665,                 2.4937,                 1.6621,                  0.414,                 0.6165,                0.57093,                0.46552,                0.81131,                 2.2909,                 1.4857,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     82,                 1.0642,                 2.5122,                 1.6834,                0.45639,                0.57273,                0.59309,                0.48672,                0.80499,                 2.1367,                 1.5039,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     83,                 1.0669,                 2.4933,                 1.6646,                0.44838,                0.68668,                0.63376,                0.51721,                0.75086,                 2.1321,                 1.4638,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     84,                 1.0281,                 2.4539,                 1.6422,                0.42547,                0.68559,                0.61149,                0.50175,                0.76337,                 2.1806,                 1.4654,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     85,                 1.0469,                 2.4432,                 1.6505,                0.38652,                0.69405,                0.63734,                0.52197,                0.76723,                 2.1627,                 1.4745,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     86,                 1.0394,                  2.417,                 1.6478,                0.46718,                  0.656,                0.63219,                0.52523,                0.73406,                  2.136,                 1.4517,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     87,                 1.0546,                 2.4593,                 1.6513,                 0.4557,                0.63795,                0.61458,                0.51443,                0.73279,                 2.1288,                 1.4421,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     88,                 1.0576,                 2.4502,                 1.6625,                0.44821,                0.66307,                0.61745,                0.51061,                0.75231,                 2.1276,                 1.4459,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     89,                 1.0514,                 2.4617,                 1.6419,                0.42896,                0.66893,                0.62651,                0.51893,                0.74451,                 2.1019,                 1.4557,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     90,                 1.0275,                 2.4253,                 1.6415,                0.43911,                0.72334,                0.64562,                0.53259,                 0.7599,                 2.0861,                  1.467,              4.289e-05,              4.289e-05,              4.289e-05
                     91,                0.78687,                 2.3742,                  1.506,                0.47519,                0.61923,                0.63261,                0.49983,                0.80884,                  2.122,                 1.4836,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     92,                0.75961,                 2.2416,                 1.4804,                0.47353,                0.67077,                0.64046,                0.52869,                0.75181,                 2.1218,                 1.4874,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     93,                0.74897,                 2.1019,                 1.4866,                 0.4891,                0.66199,                0.68272,                0.57083,                0.73232,                 2.1244,                 1.4764,                3.3e-05,                3.3e-05,                3.3e-05
                     94,                0.73869,                 2.1009,                 1.4653,                0.47606,                 0.7022,                0.69945,                0.57696,                0.72622,                 2.1237,                 1.4497,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     95,                0.72698,                 2.0747,                 1.4187,                0.48624,                0.69832,                0.67565,                0.56206,                0.71412,                 2.1194,                 1.4437,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     96,                 0.7005,                 1.9885,                 1.4222,                 0.4939,                0.73666,                0.68938,                0.57364,                0.70142,                 2.0884,                 1.4326,              2.311e-05,              2.311e-05,              2.311e-05
                     97,                0.70843,                 1.9775,                 1.4148,                0.50679,                0.70234,                0.68805,                0.57768,                0.70018,                 2.0709,                 1.4263,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     98,                0.69486,                 1.9656,                 1.3901,                0.51867,                0.68378,                 0.6999,                0.59302,                0.70514,                 2.0588,                 1.4251,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     99,                0.70723,                 1.9498,                 1.4095,                0.49412,                0.75618,                0.71175,                0.59695,                0.70857,                 2.0637,                 1.4263,              1.322e-05,              1.322e-05,              1.322e-05
                    100,                 0.7003,                 2.0001,                 1.3918,                0.53152,                0.73606,                0.70435,                0.59328,                0.70316,                 2.0503,                 1.4138,             9.9234e-06,             9.9234e-06,             9.9234e-06
